website,robots_url,status,cluster_id,cluster_tag,ai_block_count,disallow_scope_ratio,crawl_delay_norm,blocks_search_engines,global_disallow_root,ai_only_block,wildcard_usage,sitemap_present
amazon.co.jp,https://www.amazon.co.jp/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,6.433333333,0,0,0,1,1,0
amazon.co.uk,https://www.amazon.co.uk/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,3.733333333,0,0,0,1,1,0
amazon.com,https://www.amazon.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,4.533333333,0,0,0,1,1,0
amazon.de,https://www.amazon.de/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,4,0,0,0,1,1,0
amazon.fr,https://www.amazon.fr/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,3.633333333,0,0,0,1,1,0
amazon.in,https://www.amazon.in/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,5.533333333,0,0,0,1,1,0
amazon.it,https://www.amazon.it/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,3.933333333,0,0,0,1,1,0
canva.com,https://www.canva.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,1,3.4,0,0,0,1,1,1
chatgpt.com,https://www.chatgpt.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,6,0.6,0,0,1,1,1,1
disneyplus.com,https://www.disneyplus.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,2,0.466666667,0,0,0,1,1,1
espn.com,https://www.espn.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,5,3.666666667,0,0,0,1,1,1
globo.com,https://www.globo.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,3,0.433333333,0,0,0,1,1,1
speedtest.net,https://www.speedtest.net/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,1,0.133333333,0,0,0,1,0,0
uol.com.br,https://www.uol.com.br/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,2,0.1,0,0,0,1,0,1
weather.com,https://www.weather.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,9,5.7,2,0,0,1,1,1
yahoo.co.jp,https://www.yahoo.co.jp/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,2,0.066666667,0,0,0,1,0,0
yahoo.com,https://www.yahoo.com/robots.txt,Valid robots.txt,0,Partial Opt-out: AI-targeted,11,2.133333333,0,0,0,1,0,1
